GPA,Problems_Solved,Certifications,CF_Rating,Skill_Score,Placed
7.68,290,0,1238,71.26,0
8.04,376,2,0,47.34,1
7.99,420,1,1384,55.31,1
8.45,545,1,0,61.86,1
7.76,412,0,1577,57.36,0
8.99,202,1,0,56.05,1
7.53,205,1,1327,57.68,0
9.9,628,1,0,73.34,1
8.28,382,1,1295,56.85,0
7.02,395,3,0,73.5,0
6.84,296,0,0,60.55,0
8.16,311,1,1431,35.53,0
7.56,334,2,0,69.05,0
8.36,458,0,0,70.98,0
8.15,417,2,1543,40.09,1
7.69,620,1,1378,67.97,1
7.03,154,2,0,73.1,0
6.46,140,0,1369,37.87,0
7.37,339,1,1266,43.72,0
8.48,549,4,0,70.46,1
7.93,579,0,825,90.62,1
6.69,250,2,1162,100.0,0
7.9,118,1,1601,72.9,0
8.08,318,1,0,89.42,0
7.0,448,5,1639,79.85,0
7.88,401,2,0,57.34,0
7.8,528,1,0,89.15,1
6.78,651,2,0,79.33,0
8.05,382,4,880,77.82,1
8.23,341,0,1184,49.72,0
8.67,296,1,1226,76.17,0
8.65,238,3,893,62.11,1
6.58,122,1,0,64.51,0
6.95,248,1,0,63.22,0
8.19,668,0,0,76.18,0
8.19,570,3,0,87.49,1
8.19,332,2,1304,60.16,1
9.9,1131,2,1247,68.47,1
8.24,316,1,0,30.16,0
8.72,771,0,0,89.53,1
8.56,849,1,0,80.02,1
8.3,522,2,1251,41.3,1
7.48,271,0,1554,67.97,0
8.4,361,0,1151,67.56,0
7.09,406,2,1089,61.25,1
7.55,191,2,1409,67.58,0
7.34,225,2,0,90.3,1
7.82,237,0,0,90.17,0
9.72,604,0,1258,82.04,1
6.16,620,1,800,78.11,0
8.33,587,2,0,81.63,1
6.38,574,0,1705,84.14,0
7.35,254,1,1532,59.79,0
8.68,381,1,800,73.73,0
7.8,354,3,1349,37.69,0
6.83,455,0,1147,74.83,0
7.14,261,0,1011,74.98,0
8.33,643,1,0,70.92,1
7.13,773,2,0,84.01,1
7.93,517,1,0,53.45,1
7.79,334,4,0,43.35,0
7.2,236,2,1003,68.66,0
9.57,316,0,1123,53.05,1
8.29,171,1,0,26.3,0
6.03,279,3,872,43.92,0
7.91,354,1,0,49.83,0
7.19,573,2,0,93.41,0
8.47,329,0,0,71.74,0
7.08,336,0,0,51.01,0
7.65,452,3,0,61.32,1
8.18,524,2,990,100.0,1
8.49,598,0,1256,97.64,1
6.73,389,0,1509,48.2,0
7.47,193,2,0,85.99,1
7.35,465,0,0,71.99,0
7.19,262,4,0,81.47,0
9.25,775,0,1130,82.73,1
8.09,418,1,0,95.44,1
6.68,400,1,1388,47.81,0
8.53,1262,0,1180,100.0,1
9.55,651,0,1214,100.0,1
8.63,519,1,1244,27.91,1
6.46,314,0,0,66.64,0
7.34,195,2,0,54.93,0
8.83,408,4,0,85.01,1
7.15,232,1,1370,85.68,0
8.13,867,2,0,100.0,1
8.41,512,0,0,80.3,1
6.96,659,1,1332,82.17,0
7.7,291,3,0,59.79,0
5.5,167,3,1531,65.88,0
6.88,504,0,1191,100.0,0
7.54,244,0,0,48.15,0
6.69,272,1,0,57.84,0
9.14,933,2,0,90.81,1
6.53,271,0,1173,85.86,0
7.38,176,1,1220,66.51,0
7.86,167,2,1281,81.35,0
8.98,238,0,1329,85.2,1
6.53,660,0,1320,93.24,0
8.74,346,0,0,47.56,0
7.76,1207,2,0,100.0,1
6.92,768,2,1187,100.0,0
8.14,992,2,0,95.95,1
7.92,651,1,0,53.4,0
7.24,506,4,1266,44.03,0
7.81,266,2,892,70.73,0
7.42,383,2,1168,56.28,0
7.85,560,1,1374,43.06,1
8.31,650,1,0,49.41,1
9.1,283,2,1179,56.92,0
6.7,315,2,0,71.5,0
9.56,464,1,0,100.0,1
6.09,300,1,1006,76.68,0
7.62,231,0,0,56.61,0
8.25,939,2,1323,100.0,1
7.99,367,0,0,75.49,0
7.22,221,1,1165,78.63,0
7.57,920,0,0,91.0,1
7.33,787,3,1407,100.0,1
7.25,404,1,1296,87.65,0
8.47,194,2,0,64.41,0
8.05,329,2,0,65.78,0
7.16,150,0,0,79.39,0
8.51,544,4,0,62.49,1
8.01,317,2,1364,37.55,1
8.44,424,1,1929,41.71,1
8.29,911,0,0,75.51,1
7.05,263,1,0,78.71,0
7.27,478,1,0,65.66,0
8.39,602,0,1357,83.17,1
8.27,727,3,0,74.17,1
7.73,378,2,976,60.37,0
7.85,364,0,1244,49.05,0
8.84,405,2,0,69.36,1
7.25,453,1,1203,69.62,0
8.22,810,0,1051,95.65,1
7.58,340,2,1324,74.35,1
7.56,111,4,0,55.5,0
8.68,646,3,0,50.72,1
8.45,443,2,1462,94.13,1
8.44,541,2,1101,74.94,1
8.86,229,1,830,65.75,0
7.77,306,1,1306,99.25,0
8.33,607,3,1120,97.44,1
7.49,198,2,1209,71.85,0
8.03,511,1,0,75.39,0
7.64,386,1,1684,70.21,1
7.83,278,0,907,70.92,1
8.26,287,2,1873,74.62,0
7.05,206,0,1164,97.47,0
9.53,491,2,0,100.0,1
6.89,395,0,1123,76.61,0
6.72,285,1,1114,23.33,0
8.73,275,3,0,46.97,1
8.42,522,3,1382,100.0,1
8.28,634,2,0,94.73,1
8.28,559,3,0,85.88,1
7.74,994,2,0,91.42,1
6.99,330,0,1310,44.42,0
7.81,753,2,1436,100.0,1
7.17,262,0,969,49.02,0
8.58,303,1,1399,81.71,1
7.63,417,1,1261,45.67,0
7.05,802,0,0,82.77,0
7.48,332,0,0,88.14,0
8.1,195,1,1869,57.81,0
7.27,583,1,0,70.95,0
7.05,352,1,1177,69.29,0
7.96,470,1,876,47.08,0
7.96,282,1,1657,35.8,0
7.32,402,0,1192,85.36,0
7.35,173,3,0,53.48,0
7.95,933,1,0,100.0,1
6.52,605,0,1248,100.0,0
6.55,358,0,0,93.29,0
7.14,569,0,973,45.34,0
7.57,280,2,0,52.24,0
8.01,657,2,1333,92.03,1
9.0,393,0,1402,81.78,1
8.48,358,0,1670,100.0,1
7.61,239,0,0,46.41,0
7.73,488,0,0,97.88,1
6.9,365,1,1512,77.05,0
7.73,762,2,0,52.68,0
7.5,221,1,800,52.88,0
8.02,502,1,965,80.33,0
7.05,660,0,1322,47.31,0
8.19,1241,0,1314,63.16,1
9.05,496,2,0,39.62,1
7.66,330,1,1078,73.38,0
8.09,448,0,1307,63.23,0
8.34,759,1,1041,72.96,1
7.41,717,0,1307,71.97,1
7.94,384,3,1261,41.88,1
7.76,726,1,0,74.91,1
7.83,397,0,0,34.47,1
7.09,563,0,874,100.0,0
7.77,519,3,0,100.0,1
8.17,346,1,1064,22.32,1
8.98,305,1,1653,57.82,1
8.57,738,2,0,76.44,1
9.58,881,2,0,86.75,1
7.1,455,1,1188,93.23,0
8.49,427,1,0,62.76,1
7.91,226,2,1041,62.27,0
9.61,776,1,861,100.0,1
7.06,426,3,1314,69.81,0
7.04,318,1,1319,100.0,0
7.24,578,1,0,88.16,1
5.94,119,1,1397,48.69,0
7.3,219,1,0,49.35,0
7.1,254,2,0,65.01,0
7.88,516,0,985,53.11,0
8.04,448,4,1395,55.64,1
9.34,611,1,0,70.98,1
8.56,705,1,929,89.07,1
7.26,527,1,1660,100.0,1
6.99,899,1,0,81.26,0
8.17,687,2,0,91.71,1
6.63,325,0,1236,35.44,0
9.31,375,1,1538,91.21,1
8.75,426,2,838,37.61,0
7.35,540,1,1341,92.57,0
6.29,255,3,0,63.58,0
8.9,618,1,1388,77.31,1
7.65,530,1,1050,70.19,1
8.8,295,2,1595,40.77,1
6.39,601,0,0,54.07,0
7.24,453,1,0,89.85,0
7.75,911,1,0,91.68,1
7.79,396,2,1192,64.69,0
7.37,325,1,1488,76.87,0
8.28,257,2,973,67.31,0
6.84,190,2,0,46.74,0
7.63,618,0,0,100.0,0
7.85,869,4,947,100.0,1
8.19,398,3,1210,73.46,1
8.35,393,0,1215,60.45,0
6.79,369,1,0,88.82,0
6.45,626,1,1085,64.29,0
8.84,298,2,0,49.48,1
8.03,460,1,0,100.0,1
7.11,601,0,1052,79.65,0
9.07,566,0,0,62.37,1
7.85,112,1,0,59.59,0
8.75,595,1,1357,95.8,1
7.81,512,1,1638,87.91,0
9.5,829,4,1422,100.0,1
9.24,897,0,971,65.89,1
7.54,722,2,0,100.0,1
8.58,451,5,0,69.46,1
8.3,201,1,886,64.82,0
8.91,417,0,1151,95.87,1
6.93,370,1,1465,83.85,0
8.33,885,0,0,97.42,1
8.65,314,0,944,27.88,0
6.26,136,3,0,59.53,0
6.74,276,2,1218,50.35,0
6.02,203,1,878,77.34,0
7.52,184,3,1406,82.18,0
8.36,410,4,1199,65.36,0
9.03,472,0,944,60.54,1
7.81,192,3,931,93.81,1
9.13,404,1,1492,59.1,1
6.58,220,2,0,39.91,0
6.3,88,0,1511,41.87,0
7.7,419,1,0,60.66,0
8.08,457,0,1474,56.05,0
7.72,271,3,1132,82.75,0
5.99,580,2,800,34.24,0
7.67,399,2,0,53.31,0
6.64,229,0,0,63.21,0
8.32,209,1,1242,67.56,0
8.06,467,1,812,100.0,1
6.95,473,2,1101,100.0,0
7.31,293,3,0,34.71,0
6.85,387,3,1008,32.32,0
7.7,827,2,800,88.58,1
8.56,645,0,0,67.34,1
6.91,97,2,0,35.04,0
8.18,296,0,1639,67.16,0
7.3,353,2,1272,73.73,1
7.08,383,3,1353,53.54,1
7.66,428,1,1223,59.64,0
6.87,453,3,1270,57.88,0
7.28,358,1,886,61.09,0
6.73,356,0,0,80.07,0
9.42,699,3,0,61.4,1
7.78,459,0,1296,60.55,0
7.16,196,2,1162,54.85,0
7.93,428,2,1356,71.98,1
7.65,369,3,1361,75.28,0
7.56,144,0,0,100.0,0
8.27,454,3,1285,84.6,1
8.39,265,2,0,77.52,1
7.3,608,2,1224,73.99,1
7.26,467,3,1383,54.08,0
7.52,206,1,1469,52.68,0
5.79,526,1,894,61.83,0
6.46,698,1,0,90.76,0
8.91,404,0,1052,38.13,0
9.15,436,2,0,84.29,1
7.54,575,1,1436,75.66,0
8.24,750,1,1414,99.67,1
8.01,182,2,1100,47.8,0
9.9,325,0,1215,49.97,1
8.7,367,1,0,61.55,1
7.64,337,0,1886,59.87,0
6.94,540,2,0,92.73,0
6.38,668,2,1065,97.66,0
7.92,765,2,0,100.0,1
7.11,140,1,0,50.69,0
6.54,210,2,1644,10.0,0
7.2,187,3,1709,54.29,1
6.83,254,1,0,69.77,0
9.18,329,0,0,82.45,1
8.5,522,1,1205,81.95,1
7.74,517,0,0,65.75,0
9.01,456,3,0,100.0,1
7.82,384,0,1522,49.69,0
7.02,298,0,0,61.43,0
9.04,408,3,1463,49.72,1
8.21,846,1,1398,89.23,1
6.87,516,1,1008,100.0,0
7.59,330,1,872,65.38,1
7.01,344,0,977,66.06,0
6.57,441,1,0,38.72,0
8.54,252,0,0,59.34,0
9.37,500,0,1107,98.01,1
6.56,487,0,0,69.48,0
8.23,528,2,1133,69.76,1
7.2,243,2,1306,86.83,0
7.34,273,2,0,59.65,0
7.25,123,3,1631,85.76,0
7.02,535,2,1035,50.71,0
7.79,1003,3,1735,100.0,1
7.04,218,1,1119,96.65,0
7.98,676,0,955,100.0,1
7.71,954,1,1202,55.81,1
7.55,306,2,1962,54.47,1
6.98,343,0,1446,63.88,0
7.26,429,1,0,92.36,1
8.39,528,0,0,49.49,1
8.18,482,0,1080,53.9,0
6.92,290,0,0,34.5,0
7.83,540,1,0,60.08,0
8.39,360,1,1647,44.37,0
6.33,414,3,0,100.0,0
8.21,413,0,1166,58.57,1
7.19,136,1,993,74.26,0
8.24,737,1,1280,84.84,1
7.1,266,1,1314,65.72,0
6.22,681,1,0,70.41,0
6.37,591,1,1349,94.04,0
7.79,446,0,1301,75.93,0
7.97,522,1,1472,77.81,1
6.98,507,2,1516,63.41,0
8.29,385,1,0,61.8,0
6.34,306,1,1021,79.02,0
7.69,527,1,0,80.68,1
6.72,348,5,1637,71.39,0
7.2,303,0,1286,52.04,0
7.79,271,1,0,100.0,0
7.02,452,1,0,63.49,0
7.42,276,1,0,65.43,0
8.61,637,1,1456,76.74,1
7.26,602,1,980,100.0,0
8.46,542,3,0,70.86,1
6.79,519,1,977,68.11,0
8.2,531,1,0,78.61,1
8.98,637,0,1390,66.61,1
5.65,475,3,0,76.23,0
7.07,442,0,1373,100.0,0
8.24,679,0,920,88.15,1
7.58,360,2,1501,74.66,0
8.07,288,1,1103,52.16,0
7.24,244,3,1024,98.94,1
7.82,345,1,934,100.0,0
7.62,146,0,1122,77.89,0
8.74,486,5,830,87.52,1
7.97,555,1,1129,72.5,1
8.04,632,1,0,88.11,1
7.4,160,0,1208,44.7,0
7.34,252,2,0,42.56,0
7.38,573,0,1299,48.17,0
8.09,377,0,1280,78.29,0
7.39,523,0,1680,48.35,0
8.0,223,1,0,53.93,0
9.51,825,2,0,86.78,1
8.49,237,1,1449,84.39,0
7.47,423,2,1220,60.36,0
8.77,487,0,0,96.75,1
7.4,296,2,1614,85.62,0
6.02,423,0,890,50.49,0
6.89,469,1,1462,96.22,0
6.16,410,0,0,65.73,0
7.45,295,1,1185,56.82,0
7.77,281,1,0,60.65,0
9.17,388,0,1283,70.45,1
8.03,275,1,0,57.7,0
7.56,663,1,0,64.73,1
8.45,370,1,0,54.77,0
5.87,345,2,0,71.58,0
7.95,598,1,1090,75.71,0
8.41,286,3,0,76.99,1
6.49,144,1,0,61.81,0
8.72,307,0,1681,68.82,1
8.04,466,2,0,85.5,1
7.4,422,2,0,100.0,1
8.29,505,3,1092,100.0,1
9.68,465,1,1283,100.0,1
7.9,126,0,1379,77.45,0
7.96,382,3,1410,100.0,1
7.36,610,2,1432,88.16,1
7.03,674,2,0,88.47,0
8.46,448,2,1188,100.0,1
7.02,406,2,1701,16.72,0
7.81,537,5,1171,72.2,1
7.34,678,1,1274,100.0,0
8.16,417,2,0,91.29,1
8.03,544,2,1374,100.0,1
8.63,342,0,800,70.83,1
7.32,194,2,1251,54.14,1
7.52,307,1,0,60.64,0
6.92,738,1,0,90.88,0
7.37,519,4,0,100.0,1
8.07,237,3,1335,97.16,1
8.39,577,1,0,76.96,1
6.97,196,0,0,67.9,0
8.49,511,0,1469,63.21,1
8.9,304,0,0,57.02,0
8.1,233,1,1638,85.25,1
9.35,912,3,0,100.0,1
7.09,308,3,1588,53.37,0
6.69,484,2,1355,79.22,0
6.24,338,1,1760,63.66,0
9.02,296,1,1382,84.12,1
8.31,381,2,0,62.47,0
7.7,238,1,0,25.99,0
7.99,1153,3,0,100.0,1
6.79,535,2,1431,70.33,0
9.83,496,1,1002,70.85,1
7.86,523,2,1009,84.63,0
7.84,564,0,1174,84.62,1
8.37,589,0,0,87.68,1
8.16,567,0,1395,45.09,1
7.94,537,1,1281,87.61,0
7.08,388,3,0,32.34,0
8.15,826,3,1632,100.0,1
9.35,504,0,0,97.53,1
8.89,460,1,1536,46.03,1
9.1,494,1,1412,81.33,1
7.32,429,2,0,93.3,1
6.91,138,1,1152,51.54,0
7.64,257,5,0,78.75,0
7.8,381,3,1262,14.53,0
8.68,214,1,1145,85.52,0
6.31,338,1,0,69.12,0
9.05,504,1,1597,70.0,1
7.62,204,0,964,82.84,0
7.39,276,2,0,100.0,0
6.89,682,1,0,91.99,0
6.34,457,3,1229,100.0,0
8.45,538,1,1220,45.45,0
7.81,680,0,0,95.52,1
6.65,215,1,0,60.96,0
6.65,160,1,0,45.64,0
7.46,620,2,1337,41.23,1
9.17,447,0,0,85.12,1
7.53,251,3,0,82.55,0
6.47,118,1,1223,86.56,0
7.54,426,0,1612,95.57,0
7.52,352,0,0,53.65,0
5.5,232,1,1405,90.09,0
7.7,129,0,1300,88.09,0
7.55,794,2,0,81.56,0
8.34,219,1,0,64.33,0
9.32,419,0,1289,53.08,1
8.71,364,0,0,99.18,1
7.52,518,1,1362,45.48,0
6.81,134,0,1090,71.06,0
9.9,594,2,0,66.82,1
7.8,439,1,0,50.4,0
7.76,286,2,991,28.95,0
7.73,488,1,1328,70.21,1
7.92,410,0,1058,46.11,0
7.63,893,1,1484,91.85,1
7.26,340,5,0,100.0,0
7.29,224,2,1349,67.95,0
7.72,499,1,1082,100.0,1
7.29,320,2,1334,48.15,1
7.14,371,3,0,44.22,0
7.84,214,1,0,43.02,0
7.53,522,2,1063,74.58,0
9.03,372,0,1444,100.0,1
5.5,352,0,0,35.84,0
8.68,1053,2,0,100.0,1
8.81,400,0,1205,57.0,1
5.99,488,3,1080,70.04,0
7.46,351,2,0,43.88,0
7.43,273,4,0,83.5,0
6.55,679,1,0,81.28,0
7.09,124,3,1431,81.71,0
6.81,597,0,1068,82.38,0
9.24,214,2,1194,24.93,1
8.55,643,1,1257,100.0,1
8.83,450,1,0,32.74,0
8.36,273,0,1029,28.52,0
6.79,282,1,1433,47.94,0
7.3,532,0,0,58.2,0
8.17,982,0,0,100.0,1
6.71,132,2,1256,56.86,0
8.36,280,0,1254,91.15,1
7.55,193,0,0,51.36,0
7.43,348,3,1505,75.27,0
8.35,642,2,800,90.16,1
8.13,207,1,0,77.2,0
7.44,382,4,0,60.98,1
8.74,650,2,0,73.44,1
6.83,281,3,1170,60.28,0
8.27,462,2,0,40.43,1
8.25,729,1,0,82.48,1
7.49,219,2,1440,56.09,0
8.03,174,3,1142,73.56,0
6.69,417,2,0,73.51,0
8.54,507,1,1092,100.0,1
7.59,305,2,1174,68.6,1
7.31,263,2,1319,54.28,0
8.64,445,0,1125,73.95,0
7.15,202,0,0,77.56,0
6.55,175,1,1391,26.54,0
6.43,491,0,923,60.34,0
8.27,245,1,1167,50.92,0
6.66,116,0,881,67.86,0
9.24,350,2,1273,79.55,1
5.98,236,2,0,66.46,0
9.19,562,2,1445,27.91,0
7.93,303,0,960,34.08,0
7.67,762,2,860,80.7,1
7.29,395,2,0,60.77,0
8.09,280,3,1626,66.31,1
7.72,486,3,1406,65.05,1
8.69,801,3,0,100.0,1
7.85,548,2,954,31.04,0
7.88,191,1,1162,68.69,0
7.44,315,1,1742,84.16,0
7.7,448,2,1043,86.95,1
8.01,544,2,1045,92.51,1
6.3,298,2,0,85.54,0
6.6,288,0,1292,54.44,0
8.38,923,0,1481,69.89,1
7.9,554,1,1090,36.47,0
7.59,481,1,1227,66.99,0
7.77,302,0,1539,51.53,0
8.05,241,2,0,87.87,0
7.29,472,2,1497,68.13,0
7.09,547,4,0,56.27,0
7.92,405,0,0,47.43,0
6.92,511,1,0,100.0,0
8.1,571,0,1465,77.4,1
6.3,530,0,0,60.57,0
8.62,223,0,0,66.4,0
8.15,351,1,0,100.0,1
7.97,517,2,0,67.89,1
8.59,446,0,901,86.58,0
9.17,620,1,1137,100.0,1
8.61,527,3,0,38.25,1
6.19,64,1,925,44.79,0
6.66,616,3,1474,100.0,0
7.22,289,3,971,52.57,0
7.77,258,2,0,73.61,0
8.19,674,1,1269,66.79,1
7.13,507,1,0,66.37,0
7.91,707,1,0,71.93,1
7.11,423,1,0,84.65,0
7.23,308,0,1597,71.35,0
6.55,373,1,0,71.9,0
6.97,201,1,0,100.0,0
6.6,148,0,0,95.71,0
6.92,253,3,1139,25.5,0
8.65,843,2,1373,79.85,1
6.94,268,2,0,100.0,0
9.9,263,0,1046,54.03,1
8.17,388,2,1011,100.0,1
7.91,310,1,1181,58.87,0
7.02,638,3,0,75.84,0
8.35,801,2,1253,100.0,1
7.26,302,0,0,65.28,0
7.85,457,4,800,83.17,1
9.9,567,2,0,100.0,1
7.67,385,2,0,85.58,0
8.73,399,1,0,73.79,1
7.15,222,1,1235,97.35,0
7.72,154,2,0,78.69,0
9.26,316,2,1462,52.97,1
7.22,358,1,0,100.0,0
9.29,259,0,1057,78.21,1
8.35,468,1,1149,69.45,1
7.27,390,0,1532,30.18,1
8.29,327,2,1479,40.53,0
8.58,385,3,1245,100.0,1
8.28,229,3,0,98.95,0
6.42,530,1,800,77.91,0
7.13,557,1,0,41.88,0
7.54,212,1,1003,41.74,0
7.69,222,2,1638,31.4,0
8.28,274,3,0,32.76,0
7.9,526,1,0,100.0,1
6.61,418,1,1373,100.0,0
8.07,665,1,1394,59.18,1
8.27,710,0,1151,83.23,1
8.23,204,1,1331,37.46,0
8.67,551,1,1358,76.74,1
8.46,705,1,1336,100.0,1
8.14,355,2,0,90.77,1
7.69,391,3,0,86.81,0
6.34,302,3,1559,63.2,0
8.12,390,1,980,95.84,1
7.93,597,2,1065,91.81,1
7.98,888,1,1255,98.6,1
6.66,703,2,0,80.81,0
6.83,268,0,853,72.09,0
8.65,493,1,0,80.49,1
7.72,267,0,0,54.85,0
8.33,307,1,1161,51.78,0
7.77,386,1,0,50.5,1
7.78,279,1,1308,47.5,0
8.55,334,0,1164,64.6,0
7.31,428,2,1008,65.07,0
7.83,510,1,0,62.99,1
7.36,482,3,0,60.38,1
7.38,486,0,0,80.28,0
7.49,200,1,1281,90.55,0
7.94,279,4,1283,65.94,0
7.34,387,1,1109,68.95,0
8.82,706,0,0,64.54,1
6.99,1087,1,1328,94.02,0
7.59,454,1,0,96.97,1
7.38,545,2,0,97.55,0
8.98,256,1,1079,84.6,1
7.92,562,2,1165,96.2,1
8.63,1009,1,0,100.0,1
6.49,214,3,0,71.58,0
7.98,313,2,1232,72.42,1
8.51,632,1,0,71.94,1
7.82,406,3,0,72.91,1
8.66,191,1,1342,66.95,0
7.31,291,0,1258,79.3,0
8.95,827,1,1450,90.09,1
9.7,434,0,1428,100.0,1
7.44,333,1,1448,44.12,0
7.37,562,1,0,92.57,0
8.99,525,0,1391,75.18,1
9.09,398,3,1396,70.96,1
7.31,273,3,0,49.67,0
7.39,1300,3,1179,100.0,1
7.51,699,1,0,96.02,1
6.61,451,0,0,89.71,0
6.97,483,1,0,77.7,0
6.9,336,1,1564,61.94,0
7.1,438,1,1199,71.19,0
7.72,354,2,1349,77.83,1
7.95,268,0,1467,25.61,0
9.07,535,0,0,93.86,1
6.9,302,2,0,100.0,0
8.59,526,0,0,85.65,1
7.57,524,4,0,70.34,0
7.71,499,0,0,71.74,0
8.32,275,0,1100,80.15,0
6.8,280,1,1443,61.03,0
